point_id,method,parameters_json,run_count,terminated_sentence_run_count,termination_failure_count,termination_success_rate,mean_bits_per_word,se_bits_per_word_runs,se_bits_per_word_context_clustered,mean_kl_bits,se_kl_bits_runs,se_kl_bits_context_clustered,mean_nll_nats,mean_carrier_tokens,mean_payload_bits,sentence_over_pilot_cap_256_count,max_carrier_tokens,zero_payload_count,zero_payload_rate,arithmetic_cache_runs_with_encode_trim,arithmetic_cache_total_encode_trim_events,sentence_guard_runs_with_escalation,sentence_guard_max_final_guard_tokens,transport_recovery_exact_prefix_rate,transport_recovery_failure_count
bins_b1,bins,"{""block_size_bits"":1}",240,240,0,1.0,1.0,0.0,0.0,2.2232120104464084,0.02093523674166191,0.026412721072056815,2.248240791894946,30.470833333333335,30.470833333333335,0,183,0,0.0,0,0,0,0,0.9875,3
bins_b2,bins,"{""block_size_bits"":2}",240,240,0,1.0,2.0,0.0,0.0,2.5782982879432828,0.029776220675531907,0.033025804815353055,3.1850975524332177,34.795833333333334,69.59166666666667,0,126,0,0.0,0,0,0,0,0.9833333333333333,4
bins_b3,bins,"{""block_size_bits"":3}",240,240,0,1.0,3.0,0.0,0.0,2.8863735957109724,0.035710540794314106,0.039196045983947554,4.07236819833778,39.9625,119.8875,0,175,0,0.0,0,0,0,0,0.9416666666666667,14
bins_b4,bins,"{""block_size_bits"":4}",240,240,0,1.0,4.0,0.0,0.0,3.151110854481088,0.04195480445405441,0.04622011156363142,4.889412393198383,53.1,212.4,4,459,0,0.0,0,0,0,0,0.9625,9
bins_b5,bins,"{""block_size_bits"":5}",240,240,0,1.0,5.0,0.0,0.0,3.2926537954726944,0.03001189746535292,0.03222751790864332,5.750656417335507,46.15833333333333,230.79166666666666,0,254,0,0.0,0,0,0,0,0.9166666666666666,20
huffman_e1,huffman,"{""candidate_pool_exponent"":1}",240,240,0,1.0,1.0,0.0,0.0,1.924779885443718,0.023510774634319772,0.028949846509868045,2.0867039718632214,26.283333333333335,26.283333333333335,0,79,0,0.0,0,0,0,0,0.9875,3
huffman_e2,huffman,"{""candidate_pool_exponent"":2}",240,240,0,1.0,1.8007359872872242,0.011978176352899854,0.00970351356843591,1.5675077625564389,0.03343883170684448,0.039175268284082215,2.4571046262206147,25.645833333333332,45.82083333333333,0,111,0,0.0,0,0,0,0,0.9666666666666667,8
huffman_e3,huffman,"{""candidate_pool_exponent"":3}",240,240,0,1.0,2.3773291795602556,0.01693713110677878,0.01823588187383349,1.209243303634535,0.03194503784247529,0.033738220778433234,2.610582447466085,28.075,67.21666666666667,0,83,0,0.0,0,0,0,0,0.975,6
huffman_e4,huffman,"{""candidate_pool_exponent"":4}",240,240,0,1.0,2.9026928895529807,0.02505158549694445,0.026064299804516976,0.9431618930532213,0.028889279421277093,0.031701090653514445,2.723870454678911,27.304166666666667,78.775,0,92,0,0.0,0,0,0,0,0.9583333333333334,10
huffman_e5,huffman,"{""candidate_pool_exponent"":5}",240,240,0,1.0,3.321864747272609,0.030546357264632985,0.0352114050712997,0.7815648435672554,0.027565610248755923,0.031626496351890215,2.917279618063776,28.3,94.36666666666666,0,112,0,0.0,0,0,0,0,0.9583333333333334,10
huffman_e6,huffman,"{""candidate_pool_exponent"":6}",240,240,0,1.0,3.7106417789827675,0.0399098075442893,0.04238229249743188,0.6496484841417518,0.025866973771172877,0.031397237150924906,3.0875719345376322,27.754166666666666,103.34583333333333,0,129,0,0.0,0,0,0,0,0.9833333333333333,4
huffman_e7,huffman,"{""candidate_pool_exponent"":7}",240,240,0,1.0,4.064795960697089,0.04888656459284199,0.049740501347645065,0.5272174417006288,0.020589128128835916,0.021887170182271317,3.2194455521400545,28.429166666666667,115.05,0,107,0,0.0,0,0,0,0,0.9625,9
